marque,modele,prix,generation,carrosserie,annee,date,energie,kilometrage,transmition,code postal,chevaux_fiscaux,chevaux_din,etat
RENAULT,CAPTUR,17060,1 génération,4x4_SUV,2018,14/03/2020,DIESEL,32818,MANUEL,41000,5,110,<50000km
RENAULT,CAPTUR,18570,1 génération,4x4_SUV,2019,01/03/2020,ESSENCE,29028,MANUEL,57000,8,143,<50000km
RENAULT,SCENIC,5280,3 génération [restyling],Monospace,2012,01/03/2020,DIESEL,191754,MANUEL,41000,6,110,<250000km
RENAULT,SCENIC,8760,3 génération [2pi restyling],Monospace,2014,01/03/2020,DIESEL,159003,MANUEL,41000,5,110,<250000km
RENAULT,CLIO,18940,4 génération,Hatchback,2021,07/03/2020,ESSENCE,12,MANUEL,7000,5,90,<5000km
RENAULT,MEGANE,13450,3 génération [2pi restyling],predicted ['Break'] but score's only 0.5929678188319428,2015,07/03/2020,ESSENCE,58488,AUTOMATIQUE,60000,7,132,<150000km
RENAULT,MEGANE,23730,4 génération,predicted ['Hatchback'] but score's only 0.5929678188319428,2020,02/03/2020,ESSENCE,11,AUTOMATIQUE,18000,7,130,<5000km
RENAULT,KADJAR,22360,1 génération,4x4_SUV,2019,01/03/2020,ESSENCE,46041,AUTOMATIQUE,76000,7,130,<50000km
RENAULT,CLIO,20700,4 génération,Hatchback,2021,01/03/2020,ESSENCE,12,MANUEL,7000,5,90,<5000km
RENAULT,MODUS,7360,2 génération,Monospace,2012,09/03/2020,DIESEL,137813,MANUEL,4000,5,85,<150000km
RENAULT,CLIO,18750,4 génération,Hatchback,2020,01/03/2020,ESSENCE,53,MANUEL,34000,5,90,<5000km
RENAULT,KADJAR,16050,1 génération,4x4_SUV,2017,10/03/2020,DIESEL,80087,AUTOMATIQUE,95000,5,110,<150000km
RENAULT,MEGANE,21490,4 génération,predicted ['Hatchback'] but score's only 0.5929678188319428,2019,11/03/2020,DIESEL,24300,MANUEL,17000,5,110,<50000km
RENAULT,CLIO,19780,Campus [3pi restyling],Hatchback,2021,06/03/2020,DIESEL,1100,MANUEL,87000,4,85,<5000km
RENAULT,CAPTUR,15080,1 génération,4x4_SUV,2018,01/03/2020,DIESEL,64606,MANUEL,31000,5,110,<150000km
RENAULT,LAGUNA,11030,3 génération,predicted ['liftback'] but score's only 0.5269016697588126,2014,01/03/2020,DIESEL,53536,MANUEL,91000,6,110,<150000km
RENAULT,CAPTUR,20530,1 génération,4x4_SUV,2020,14/03/2020,ESSENCE,12,MANUEL,7000,7,120,<5000km
RENAULT,CAPTUR,16340,1 génération,4x4_SUV,2018,02/03/2020,DIESEL,69989,MANUEL,35000,5,110,<150000km
RENAULT,MEGANE,15560,4 génération,predicted ['Hatchback'] but score's only 0.5923718712753278,2018,01/03/2020,ESSENCE,30246,MANUEL,7000,5,100,<50000km
RENAULT,KANGOO,11890,2 génération [restyling],Monospace,2016,30/04/2020,DIESEL,82110,MANUEL,93000,5,86,<150000km
RENAULT,CAPTUR,17890,1 génération,4x4_SUV,2020,11/03/2020,ESSENCE,11,MANUEL,45000,5,90,<5000km
RENAULT,SCENIC,24450,4 génération,Monospace,2019,11/03/2020,ESSENCE,11583,AUTOMATIQUE,17000,7,130,<50000km
RENAULT,CLIO,12150,4 génération,Hatchback,2018,01/03/2020,DIESEL,66237,MANUEL,83000,4,90,<150000km
RENAULT,ESPACE,6680,4 génération [restyling],Monospace,2006,21/04/2020,DIESEL,244832,AUTOMATIQUE,95000,11,165,<250000km
RENAULT,CLIO,13880,Campus [3pi restyling],Hatchback,2018,26/03/2020,ESSENCE,6844,MANUEL,95000,4,75,<50000km
RENAULT,CAPTUR,14120,1 génération,4x4_SUV,2016,03/03/2020,ESSENCE,55635,AUTOMATIQUE,7000,6,120,<150000km
RENAULT,CLIO,13000,4 génération,Hatchback,2018,27/04/2020,ESSENCE,76632,MANUEL,47000,5,90,<150000km
RENAULT,SCENIC,20380,4 génération,Monospace,2019,06/03/2020,ESSENCE,44280,MANUEL,87000,7,130,<50000km
RENAULT,CAPTUR,12160,1 génération,4x4_SUV,2014,01/03/2020,ESSENCE,98332,MANUEL,95000,5,90,<150000km
RENAULT,SCENIC,27570,4 génération,Monospace,2020,01/03/2020,DIESEL,12,MANUEL,7000,6,115,<5000km
RENAULT,CLIO,17800,4 génération,Hatchback,2020,01/03/2020,ESSENCE,224,MANUEL,34000,5,90,<5000km
RENAULT,CLIO,16920,3 génération [restyling],Hatchback,2018,01/03/2020,ESSENCE,36467,MANUEL,24000,6,112,<50000km
RENAULT,CAPTUR,16680,1 génération,4x4_SUV,2019,28/04/2020,ESSENCE,16200,MANUEL,47000,5,90,<50000km
RENAULT,CLIO,17830,4 génération,Hatchback,2020,01/03/2020,ESSENCE,32,MANUEL,83000,5,90,<5000km
RENAULT,MEGANE,22770,4 génération,predicted ['Berline'] but score's only 0.5923718712753278,2021,01/03/2020,DIESEL,12,MANUEL,7000,6,115,<5000km
RENAULT,CLIO,20810,4 génération,Hatchback,2020,01/03/2020,ESSENCE,992,MANUEL,87000,5,90,<5000km
RENAULT,SCENIC,7910,3 génération [restyling],Monospace,2012,27/03/2020,DIESEL,114374,MANUEL,95000,6,110,<150000km
RENAULT,SCENIC,19340,4 génération,Monospace,2018,12/03/2020,ESSENCE,47292,MANUEL,18000,7,130,<50000km
RENAULT,MEGANE,11880,3 génération,predicted ['Hatchback'] but score's only 0.5929678188319428,2014,16/04/2020,DIESEL,91560,MANUEL,31000,9,160,<150000km
RENAULT,KADJAR,16380,1 génération,4x4_SUV,2017,20/03/2020,ESSENCE,49450,MANUEL,74000,7,130,<50000km
RENAULT,KADJAR,18130,1 génération,4x4_SUV,2016,13/04/2020,DIESEL,45077,AUTOMATIQUE,36000,5,110,<50000km
RENAULT,CAPTUR,19530,1 génération,4x4_SUV,2019,01/03/2020,DIESEL,18522,AUTOMATIQUE,26000,5,90,<50000km
RENAULT,CAPTUR,20140,1 génération,4x4_SUV,2020,09/04/2020,DIESEL,5173,AUTOMATIQUE,49000,5,90,<50000km
RENAULT,SCENIC,19430,4 génération,Monospace,2018,01/03/2020,ESSENCE,38035,MANUEL,87000,7,130,<50000km
RENAULT,CLIO,17640,4 génération,Hatchback,2019,01/03/2020,ESSENCE,7648,MANUEL,60000,5,90,<50000km
RENAULT,TWINGO,16020,3 génération,Hatchback,2021,13/04/2020,ESSENCE,11,AUTOMATIQUE,18000,5,90,<5000km
RENAULT,TWINGO,14200,3 génération,Hatchback,2020,13/04/2020,ESSENCE,11,MANUEL,59000,5,90,<5000km
RENAULT,TALISMAN,30990,1 génération,Berline,2020,09/03/2020,ESSENCE,24769,AUTOMATIQUE,37000,8,190,<50000km
RENAULT,ESPACE,19860,4 génération [2pi restyling],Monospace,2017,01/03/2020,DIESEL,81948,MANUEL,18000,7,130,<150000km
RENAULT,CLIO,14610,4 génération,Hatchback,2020,01/03/2020,DIESEL,16671,MANUEL,30000,5,90,<50000km
RENAULT,MEGANE,19600,4 génération,predicted ['Berline'] but score's only 0.5929678188319428,2020,01/03/2020,DIESEL,25027,AUTOMATIQUE,37000,5,110,<50000km
RENAULT,CAPTUR,12820,1 génération,4x4_SUV,2017,01/03/2020,DIESEL,101476,MANUEL,87000,4,90,<150000km
RENAULT,CAPTUR,14160,1 génération,4x4_SUV,2018,01/03/2020,DIESEL,77924,MANUEL,14000,5,110,<150000km
RENAULT,TWINGO,9740,3 génération,Hatchback,2017,01/03/2020,ESSENCE,60950,MANUEL,30000,4,69,<150000km
RENAULT,CLIO,20000,Campus [3pi restyling],Hatchback,2021,13/03/2020,DIESEL,15,MANUEL,87000,5,85,<5000km
RENAULT,TALISMAN,22970,1 génération,Berline,2019,01/03/2020,ESSENCE,46634,AUTOMATIQUE,45000,11,190,<50000km
RENAULT,SCENIC,13250,3 génération [2pi restyling],Monospace,2016,01/03/2020,DIESEL,109547,MANUEL,84000,6,110,<150000km
RENAULT,CAPTUR,14730,1 génération,4x4_SUV,2017,01/03/2020,ESSENCE,34981,MANUEL,60000,5,90,<50000km
RENAULT,CLIO,13350,4 génération,Hatchback,2020,01/03/2020,ESSENCE,7068,MANUEL,77000,5,90,<50000km
